Nmarché;SIRETMandataire;LibelleEntiteMandataire;SIRETAcheteur;LibelleAcheteur;Nature;Objet;CodeCPV;Type ;Procedure;CodePostalCommuneExecution;NomCommuneExecution;CodeINSEEExecution;GranulariteINSEEExecution;MillesimeMandatement;DateNotification;Montant mandate TTC;Montant mandate HT;Montant attribue TTC;Montant attribue HT;Date de cloture;Duree;SIRETContractant;DenominationSociale;Role;CodePostal;Dpt ID ;Département;Commune;Taille;Taille des entreprises par categorie officielle;Code NAF;Libelle NAF;Libelle SBA;Libelle CCI;geolocalisation
2013-90046;;Région Bretagne;;;;AMO Lancement opérationnel de la 1ère phase du projet BTHD;;Services;MAPA - art 28;;;;;2013;2013-01-22;0;;213302;;;;434838314;SCP SEBAN ET ASSOCIES;Co-traitant;75007;75;Hors Bretagne;PARIS 07;20 à 49;PME;6910;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;48.8561051636, 2.31254406306
2013-90075;;Région Bretagne;;;;IMPRESSION LOT : Bretagne Infos Partenaires (BIP) N°42;;Services;MAPA - art 28;;;;;2013;2013-11-02;2198;;2198;;;;343046769;VAL PRODUCTION GRAPHIQUE;Titulaire;44860;44;Hors Bretagne;ST AIGNAN DE GRAND LIEU;20 à 49;PME;1812;INDUSTRIE MANUFACTURIÈRE;Industries;Industries;47.1293725692, -1.59139240082
2013-90070;;Région Bretagne;;;;Prestations d'assistance Blueway;;Services;MAPA - art 28;;;;;2013;2013-08-02;44939;;44939;;;;480841436;URBANS;Titulaire;56890;56;Morbihan;PLESCOP;20 à 49;PME;6202;INFORMATION ET COMMUNICATION;Information et communication;Tertiaire marchand;47.7007937591, -2.78248862102
2014-90504;;Région Bretagne;;;;souscription d'un abonnement à une licence de services de dépêches en ligne;;Services;MAPA - art 28;;;;;2014;2014-12-12;10267;;10267;;;;428167688;ANALYSES ETUDES FORMATION CONSEIL;Titulaire;75007;75;Hors Bretagne;PARIS 07;6 à 9 salariés;Microentreprise;6311;INFORMATION ET COMMUNICATION;Information et communication;Tertiaire marchand;48.8561051636, 2.31254406306
2015-90052;;Région Bretagne;;;;Contrat d'accès à la qualification (C.A.Q.) concernant les stagiaires des formations du Dispositif Régional d'Insertion Professtionnel (DRIP) du Groupement solidaire  GRETA Bretagne Occidentale / AFPA;;Services;Marché negocié;;;;;2015;2015-01-16;0;;0;;;;192900710;GRETA BRETAGNE OCCIDENTALE;Titulaire;29104;29;Finistère;PLUGUFFAN;100 à 199;PME;8559;ENSEIGNEMENT;Administration publique/enseignement;Tertiaire non marchand;
2015-90100;;Région Bretagne;;;;Objets promotionnels : Sac type besace à bandoulière;;Fournitures;MAPA - art 28;;;;;2015;2015-02-26;698;;698;;;;869804550;JORDENEN SA;Titulaire;45380;45;Hors Bretagne;LA CHAPELLE SAINT MESMIN;50 à 99;PME;4649;"COMMERCE ; RÉPARATION D'AUTOMOBILES ET DE MOTOCYCLES";Industries;Industries;47.8904899207, 1.78907704146
2015-90103;;Région Bretagne;;;;"Objet promotionnel : 120 carnets notes + stylos dans le cadre du concours ""l'Europe à ma porte !""";;Fournitures;MAPA - art 28;;;;;2015;2015-02-26;361;;361;;;;322504978;GENICADO OUEST;Titulaire;44240;44;Hors Bretagne;Non disponible;20 à 49;PME;4649;"COMMERCE ; RÉPARATION D'AUTOMOBILES ET DE MOTOCYCLES";Industries;Industries;47.3309393698, -1.53749152159
2013-90014;;Région Bretagne;;;;Contrat d'Accès à la Qualification;;Services;MAPA - art 30 - au dessus des seuils;;;;;2013;2013-10-01;23735;;23735;;;;300599123;AFPA DIRECTION REGIONALE BRETAGNE;Titulaire;35208;35;Ille-et-Vilaine;RENNES;10 000 et plus;Grande entreprise;8559;ENSEIGNEMENT;Administration publique/enseignement;Tertiaire non marchand;
2013-90053;;Région Bretagne;;;;CONDITIONNEMENT ET ROUTAGE DES SUPPORTS DE COMMUNICATION PORTES OUVERTES APPRENTISSAGE 2013;;Services;MAPA - art 28;;;;;2013;2013-01-25;0;;0;;;;502803356;HANDIRECT SERVICES SARL;Titulaire;35000;35;Ille-et-Vilaine;RENNES;6 à 9 salariés;Microentreprise;8219;ACTIVITÉS DE SERVICES ADMINISTRATIFS ET DE SOUTIEN;Services;Tertiaire marchand;48.1116364246, -1.6816378334
;;Quimper Communauté;;;;Renouvellement de l'étanchéité des toitures terrasses sur les ouvrages de production et de distribution d'eau potable;;Travaux;Procédure adaptée;29500.0;Ergué-Gabéric;;29.0;2015;2015-01-13;;;;41852;;;;SEO ETANCHEITE;;29000;29;Finistère;Quimper;;Non disponible;;;;;47.9969497735, -4.09093803063
;;Quimper Communauté;;;;Renouvellement de réseaux EP/EU rue Jules Verne et route de Coray à Quimper;;Travaux;Procédure adaptée;56390.0;Locqueltas;;29.0;2015;2015-02-03;;;;139733;;;;DLE OUEST;;29000;29;Finistère;Quimper;;Non disponible;;;;;47.9969497735, -4.09093803063
2015-5411507;;Quimper Communauté;;;;Construction d’une médiathèque - ZAC du centre-bourg - Commune d’Ergué-Gabéric - Lot 3 - Couverture - Bardage zinc - Etanchéité;;Travaux;Procédure adaptée;29210.0;Morlaix;;29.0;2015;2015-07-22;;;;149690;;;;L’UNION DES OUVRIERS COUVREURS;;29500;29;Finistère;Ergué-Gabéric;;Non disponible;;;;;48.0121324679, -4.00796418885
2015-5521512;;Quimper Communauté;;;;Renouvellement de réseaux et branchements AEP/EU/EP rue des Réguaires et rue Aristide Briand à Quimper;;Travaux;Procédure adaptée;56390.0;Locqueltas;;29.0;2015;2015-07-07;;;;418812;;;;DLE OUEST - AGENCE BRETAGNE;;29000;29;Finistère;Quimper;;Non disponible;;;;;47.9969497735, -4.09093803063
2015-5521518;;Quimper Communauté;;;;Travaux réparatoires de l’étanchéité du dôme du digesteur - STEP du Corniguel;;Travaux;Procédure adaptée;35000.0;Rennes;;29.0;2015;2015-11-13;;;;600000;;;;SADE;;29000;29;Finistère;Quimper;;Non disponible;;;;;47.9969497735, -4.09093803063
2015-5411502;;Quimper Communauté;;;;Fourniture et livraison de matériels au profit du parc des expositions et du centre des congrès - Lot 5 - Matériels de lumière;;Fournitures;Procédure adaptée;35310.0;Saint Thurial;;29.0;2015;2015-03-03;;;;20522;;;;SPECTACULAIRES;;29000;29;Finistère;Quimper;;Non disponible;;;;;47.9969497735, -4.09093803063
2015-5411407;;Quimper Communauté;;;;Fourniture et livraison de matériels au profit du parc des expositions et du centre des congrès - Lot 2 - Achat de cloisons de stand modulaires;;Fournitures;Procédure adaptée;78360.0;Montesson;;29.0;2015;2015-01-05;;;;80000;;;;EQUIP’CITE;;29000;29;Finistère;Quimper;;Non disponible;;;;;47.9969497735, -4.09093803063
2015-5851406;;Quimper Communauté;;;;Fourniture de documents pour les médiathèques de la communauté d’agglomération de Quimper - Lot 6 - DVD de fiction et DVD documentaires pour adultes et enfants;;Fournitures;appel d'offres ouvert;75020.0;Paris;;29.0;2015;2015-03-03;;;;240000;;;;ADAV;;29000;29;Finistère;Quimper;;Non disponible;;;;;47.9969497735, -4.09093803063
;;Quimper Communauté;;;;Maintenance logiciels pour les médiathèques;;Services;Procédure adaptée;92380.0;Garches;;29.0;2015;2015-09-25;;;;66147;;;;INFOR;;29000;29;Finistère;Quimper;;Non disponible;;;;;47.9969497735, -4.09093803063
2015-5511503;;Quimper Communauté;;;;Scénario fonctionnel de réaménagement du pôle d’échange multimodal de Quimper;;Services;Procédure adaptée;ES-08015;Barcelona (Espagne);;29.0;2015;2015-11-18;;;;78825;;;;REMOUE Bruno;;29000;29;Finistère;Quimper;;Non disponible;;;;;47.9969497735, -4.09093803063
2015-5511501;;Quimper Communauté;;;;Mission d’assistance dans le cadre du renouvellement du contrat pour la gestion des services de transports publics de Quimper Communauté;;Services;Procédure adaptée;14000.0;Caen;;29.0;2015;2015-03-20;;;;92000;;;;GRANDON;;29000;29;Finistère;Quimper;;Non disponible;;;;;47.9969497735, -4.09093803063
2015-5521517;;Quimper Communauté;;;;Exploitation de l’installation de stockage des déchets inertes à Kerhoaler en Pluguffan, dans la limite de 40 000 m³ par an;;Services;Procédure adaptée;29700.0;Pluguffan;;29.0;2015;2015-10-16;;;;95800;;;;LE PAPE;;29700;29;Finistère;Pluguffan;;Non disponible;;;;;47.9557228551, -4.17033368764
14049;;Rennes Métropole;;;;Assistance à maîtrise d'ouvrage - Etude d'évolution de la plateforme internet mutualisée ville de Rennes et Rennes Métropole;;Services;;;;;;2014;2014-08-04;;;;21000;;;;SCT GROUPE STEDIA;;13120;13;Hors Bretagne;;;Non disponible;;;;;43.4527470657, 5.47999296124
14111;;Rennes Métropole;;;;"Présentation de l'exposition "" l'instant de voir,le Fresnoy - Studio national des arts contemporains "" par les Champs Libres en partenariat avec l'association Le Fresnoy - Studio national";;Services;;;;;;2014;2014-08-07;;;;15703;;;;LE FRESNOY;;59202;59;Hors Bretagne;;;Non disponible;;;;;
14154;;Rennes Métropole;;;;"CREATION D'UNE BASE DE DONNEE ET DES OUTILS DE CONSULTATION SUR L'INFORMATION ""DECHETS""";;Services;;;;;;2014;2014-03-09;;;;50000;;;;ALKANTE SAS;;35530;35;Ille-et-Vilaine;;;Non disponible;;;;;48.1023169795, -1.48929089789
14251;;Rennes Métropole;;;;"FOURNITURE, MONTAGE, REGLAGE, EXPLOITATION ET DEMONTAGE DU MATERIEL NECESSAIRE A LA MISE EN PLACE D'UNE INSTALLATION LUMINEUSE EPHEMERE ""LIGHT TUBE"" DANS LE CADRE DU BAPTEME DU TUNNELIER DE LA LIGNE B DU METRO DE RENNES METROPOLE";;Services;;;;;;2014;2014-08-12;;;;38147;;;;SKY LIGHT / POURVU QUE CA DURE;;93290;93;Hors Bretagne;;;Non disponible;;;;;48.9785410017, 2.55473541662
14273;;Rennes Métropole;;;;Transport, traitement et valorisation  des machefers  de l'usine d'incinération de Rennes Métropole;;Services;;;;;;2014;2014-12-26;;;;3282500;;;;ECOSITE DE LA CROIX IRTELL;;56250;56;Morbihan;;;Non disponible;;;;;47.7163844225, -2.60664652784
14124;;Rennes Métropole;;;;Fourniture et installation d'un système  de vidéoprotection  pour 2 déchèteries de Rennes Métropole, d'alarme anti-intrusion pour 4 déchèteries de Rennes Métropole, d'éclairage extérieur sur détection pour 6 déchèteries;;Travaux;;;;;;2014;2014-01-09;;;;34359;;;;JPG SECURITE;;44300;44;Hors Bretagne;;;Non disponible;;;;;47.2321830557, -1.54780684906
14022;;Rennes Métropole;;;;Abonnement à une base de données juridiques en ligne pour les besoins de la ville de Rennes et de Rennes Métropole;;Fournitures;;;;;;2014;2014-10-03;;;;35865;;;;LEXISNEXIS;;75747;75;Hors Bretagne;;;Non disponible;;;;;
14090;;Rennes Métropole;;;;"Fabrication et livraison de mobilier muséographique pour la réalisation de l'exposition temporaire ""L'instant de voir-un certain panorama"" aux Champs Libres";;Fournitures;;;;;;2014;2014-06-16;;;;25505;;;;ATELIER SAINT JACQUES;;29400;29;Finistère;;;Non disponible;;;;;48.4991644596, -4.09313587809
14159;;Rennes Métropole;;;;Exposition  : le cochon, une histoire bretonne -Réalisation des aménagements scénographiques de l'expositon sur le cochon - Lot n°3 : installation et production des dispositifs audiovisuels;;Services;;;;;;2014;2014-11-09;;;;32181;;;;OPIXIDO;;75011;75;Hors Bretagne;;;Non disponible;;;;;48.8593266337, 2.37986086805
14256;;Rennes Métropole;;;;RESTAURATION CONSERVATION PREVENTIVE ET CONDITIONNEMENT DES COLLECTIONS TEXTILES DU MUSEE DE BRETAGNE;;Services;;;;;;2014;2014-12-15;;;;38538;;;;LP3 CONSERVATION;;21140;21;Hors Bretagne;;;Non disponible;;;;;47.48453871, 4.33729444801
14133;;Rennes Métropole;;;;"Diagnostic et accompagnement à la mise en place de la collecte des papiers dans les ensembles de bureaux "" multi-occupants""";;Services;;;;;;2014;2014-08-18;;;;102980;;;;LA FEUILLE D'ERABLE;;35000;35;Ille-et-Vilaine;;;Non disponible;;;;;48.1116364246, -1.6816378334
14220;;Rennes Métropole;;;;Broyage, évacuation et valorisation des déchets verts de Rennes Métropole - Lot n° 5 : valorisation des déchets verts bruts et des souches provenant du lot 1;;Services;;;;;;2014;2014-10-30;;;;221456;;;;VALBE SAUR;;56000;56;Morbihan;;;Non disponible;;;;;47.6598173381, -2.75698478615
14221;;Rennes Métropole;;;;REALISATION DE BANQUE D'ACCUEIL POUR LES POLES DOCUMENTAIRES DE LA BIBLIOTHEQUE DE RENNES METROPOLE (2EME, 3EME, 4EME ET 5EME ETAGES) - LOT N°1 : AGENCEMENTS;;Fournitures;;;;;;2014;2014-08-11;;;;50500;;;;MOBILIER NR - NEVEU ET ROSSIGNOL;;35520;35;Ille-et-Vilaine;;;Non disponible;;;;;48.2154723883, -1.71567755367
14059;;Rennes Métropole;;;;Promotion de la gestion durable et de proximité des biodéchets - Lot n°2 : compostage en restauration collective;;Services;;;;;;2014;2014-04-18;;;;58800;;;;EISENIA;;35000;35;Ille-et-Vilaine;;;Non disponible;;;;;48.1116364246, -1.6816378334
14219;;Rennes Métropole;;;;Broyage, évacuation et valorisation des déchets verts de Rennes Métropole - Lot n° 4 : valorisation des déchets verts broyés et des souches provenant du lot 1;;Services;;;;;;2014;2014-10-30;;;;332032;;;;TERRALYS;;78440;78;Hors Bretagne;;;Non disponible;;;;;49.0236826177, 1.79343875467
14006;;Rennes Métropole;;;;Accord cadre  pour travaux de maintenance  en déchèteries - Lot n° 2 : Travaux de réparation et d'implantation de clôture et portail;;Travaux;;;;;;2014;2014-02-21;;;;41708;;;;LEROY PAYSAGE;;53810;53;Hors Bretagne;;;Non disponible;;;;;48.1076010926, -0.799424532764
14204;;Rennes Métropole;;;;Aménagement des sites TETRA pour l'extension du réseau de Rennes Métropole - Lot aménageur;;Travaux;;;;;;2014;2014-10-23;;;;160429;;;;ITAS OUEST;;44470;44;Hors Bretagne;;;Non disponible;;;;;47.3000422915, -1.4503189654
14265;;Rennes Métropole;;;;"Evaluation des outils de communication et des actions de sensibilitation ""déchets"" sur le territoire de Rennes Métropole";;Services;;;;;;2014;2014-12-23;;;;42825;;;;TMO REGIONS;;35007;35;Ille-et-Vilaine;;;Non disponible;;;;;
13300;;Rennes Métropole;;;;Prestation de marketing pour la promotion de la destination rennaise auprès du public espagnol;;Services;;;;;;2014;2014-05-20;;;;150000;;;;VUELING;;88200;88;Hors Bretagne;;;Non disponible;;;;;48.0187075371, 6.60603974178
14255;;Rennes Métropole;;;;Enquête origines destinations sur le réseau STAR;;Services;;;;;;2014;2014-12-15;;;;769200;;;;TEST;;78000;78;Hors Bretagne;;;Non disponible;;;;;48.8023412582, 2.11714488156
